赤子の手を捻る,あかごのてをひねる,あかごのてをねじる
商人の空誓文,あきんどのからせいもん,あきんどのそらせいもん
朝顔の花一時,あさがおのはないっとき,あさがおのはないちじ
海人の濡れ衣,あまのぬれぎぬ,あまのぬれごろも
哀れみを蒙る,あわれみをこうむる,あわれみをこうぶる
安心立命,あんしんりつめい,あんじんりゅうめい,あんじんりゅうみょう
言い出し屁,いいだしべ,いいだしっぺ
石を抱きて淵に入る,いしをいだきてふちにいる,いしをいだきてふちにはいる
異心を挟む,いしんをはさむ,いしんをさしはさむ
痛し痒し,いたしかゆし,いたしかいし
一時分限,いちじぶげん,いちじぶんげん
一国一城の主,いっこくいちじょうのあるじ,いっこくいちじょうのぬし
浮き足立つ,うきあしたつ,うきあしだつ
内広がりの外窄り,うちひろがりのそとすぼり,うちひろがりのそとすばり
腕を拱く,うでをこまねく,うでをこまぬく
梅の木分限,うめのきぶげん,うめのぶんげん
梅干婆,うめぼしばば,うめぼしばばあ
大雪に飢渇なし,おおゆきにきかつなし,おおゆきにけかちなし
恐れ入谷の鬼子母神,おそれいりやのきしぼじん,おそれいりやのきしもじん
男は閾を跨げば七人の敵あり,おとこはしきいをまたげばしちにんのてきあり,おとこはしきいをまたげばしちにんのかたきあり
男を拵える,おとこをこしらえる,おとこをここさえる
女に五障三従あり,おんなにごしょうさんじゅうあり,おんなにごしょうさんしょうあり
乳母日傘,おんばひがさ,おんばひからかさ
蛙の目借り時,かえるのめかりどき,かえるのめかるどき
蝸牛の庵,かぎゅうのあん,かぎゅうのいおり
風邪は百病の長,かぜはひゃくびょうのちょう,かぜはひゃくびょうのおさ
方が塞がる,かたがふたがる,かたがふさがる
肩身が狭い,かたみがせまい,かたみがせばい
肩を窄める,かたをすぼめる,かたをすつぼめる
方を塞ぐ,かたをふたぐ,かたをふさぐ
危急存亡,ききゅうそんぼう,ききゅうぞんぼう
鬼籍に入る,きせきにはいる,きせきにいる
狐死して丘に首す,きつねししてきゅうにしゅす,きつねししてきゅうにかしらす
昨日の友は今日の敵,きのうのともはきょうのてき,きのうのともはきょうのあだ
気前が良い,きまえがいい,きまえがよい
決まりが悪い,きまりがわるい,きまりがわりい
気味が好い,きみがよい,きみがいい
気味が悪い,きみがわるい,きみがわりい
肝に染む,きもにしむ,きもにそむ
隔生即忘,きゃくしょうそくもう,きゃくしょうそくぼう
金口木舌,きんこうぼくぜつ,きんこうもくぜつ
禁断の木の実,きんだんのこのみ,きんだんのきのみ
草の宿,くさのやどり,くさのやど
楠分限,くすのきぶげん,くすのきぶんげん
口尚乳臭し,くちなおちくさし,くちなおちちくさし
雲の衣,くものころも,くものきぬ
雲の旗手,くものはたて,くものはだて
車の両輪,くるまのりょうりん,くるまのりょうわ
結構は阿呆の唐名,けっこうはあほうのからな,けっこうはあほうのとうみょう
牽牛花,けんぎゅうか,けんごか
高閣に束ぬ,こうかくにつかぬ,こうかくにたばぬ
江南の橘江北に移されて枳となる,こうなんのたちばなこうほくにうつされてからたちとなる,こうなんのたちばなこうほくにうつされてからたきとなる
曠朗無塵,こうろうむじん,こうろうにちりなし
氷の魚,こおりのうお,こおりのいお
小気味良い,こきみよい,こきみいい
米の飯,こめのめし,こめのいい
御免を蒙る,ごめんをこうむる,ごめんをこうぶる
幸先が良い,さいさきがいい,さいさきがよい
采薪の憂,さいしんのうれい,さいしんのうれえ,さいしんのゆう
材木屋の鳶,ざいもくやのとび,ざいもくやのとんび
桜は七日,さくらはなのか,さくらはなぬか
三種の神器,さんしゅのじんぎ,さんしゅのしんぎ
尸位素餐,しいそさん,しいそざん
時時刻刻,じじこくこく,じじこっこく
七転八倒,しちてんばっとう,しちてんはっとう
室に入りて戈を操る,しつにいりてほこをあやつる,しつにいりてほこをあとる
尻尾を出す,しっぽをだす,しっぽをいだす
篠を束ねる,しのをつかねる,しのをたばねる
十年一日,じゅうねんいちじつ,じゅうねんいちにち
菽水の歓,しゅくすいのかん,しゅくすいのよろこび
上医は国を医す,じょういはくにをいす,じょういはくにをいやす
城下の盟,じょうかのめい,じょうかのちかい
蕭牆の患,しょうしょうのうれい,しょうしょうのうれえ
白川夜船,しらかわよぶね,しらかわよふね
尻を端折る,しりをはしょる,しりをはしおる,しりをはせおる
白無垢鉄火,しろむくてっか,しろむくでっか
瞋恚の炎,しんいのほのお,しんいのほむら
真金は鍍せず,しんきんはとせず,しんきんはめっきせず
浸潤の譖,しんじゅんのそしり,しんじゅんのしん
人中の龍,じんちゅうのりゅう,じんちゅうのりょう
森羅万象,しんらばんしょう,しんらばんぞう,しんらまんぞう
擦れ枯らし,すれからし,すれがらし
生生流転,せいせいるてん,しょうじょうるてん
精を出す,せいをだす,せいをいだす
雪中の筍,せっちゅうのたけのこ,せっちゅうのたかんな
千差万別,せんさばんべつ,せんさまんべつ
千秋万歳,せんしゅうばんぜい,せんしゅうまんざい,せんしゅうばんざい
先入主となる,せんにゅうしゅとなる,せんにゅうぬしとなる
糟糠の妻,そうこうのつま,そうこうのつめ
底を叩く,そこをたたく,そこをはたく
その事に候,そのことにそうろう,そのことにさぶろう
題を出す,だいをだす,だいをいだす
